"","GSM559619","GSM559623","GSM559624","GSM559628","GSM559616","GSM559617","GSM559618","GSM559620","GSM559621","GSM559622","GSM559625","GSM559626","GSM559627","GSM559629","GSM559630","GSM559631","GSM559632","GSM559633","GSM559634","GSM559635"
"AP006547.3",2.97654,2.81085,3.05385,2.84225,2.98337,2.88338,3.01611,2.9541,3.05336,3.09011,3.54482,4.08826,3.02284,3.02731,2.87735,3.0583,2.77092,3.61463,2.93192,4.74262
"BDH1",4.07379,4.403515,4.122445,4.316035,5.354965,5.0864,4.62819,5.31942,3.67976,5.15074,4.62159,5.22327,5.34073,3.77674,4.267715,3.708665,4.637105,4.741675,4.961155,3.285645
"FIGLA",2.52798,2.53528,2.51045,2.48763,3.49694,2.45434,2.46302,2.51319,2.62812,2.50072,2.5621,2.96386,2.60032,2.59001,2.5263,2.58527,2.53358,3.21217,2.52865,2.9266
"LINC00474",2.45042,2.43319,2.412145,2.4497,2.477585,2.40704,2.466325,2.455865,2.94255,2.47984,2.510385,2.703115,2.550305,2.62698,2.594115,2.79439,2.47153,2.83207,2.50453,3.036655
"MLX",6.24551,6.842012,6.551382,7.151748,6.834878,6.534804,6.114434,5.98542,6.063304,6.808158,6.06305,6.165164,6.170428,5.705886,6.221784,6.541074,6.399466,6.268222,6.860418,6.018024
"LOC101928269",2.48925,2.39641,2.29041,2.29564,2.3591,2.28275,2.36431,2.37788,3.04633,2.34762,2.3554,2.52885,2.69859,2.31378,2.3283,2.89675,2.31699,2.40527,2.30432,2.62012
"ADAMTS6",3.45007333333333,3.16507,3.39847,3.19972666666667,2.89178666666667,3.13765,3.49140333333333,3.40052333333333,3.69447333333333,3.10021,3.61259,3.23382333333333,3.88598666666667,3.48204333333333,4.18474666666667,3.94023333333333,3.57203333333333,3.56899333333333,3.16752666666667,5.34453333333333
"STX8",6.019145,6.186915,6.200575,6.325125,5.94923,5.25511,5.51439,5.08078,5.376295,5.178065,5.485645,5.39538,5.444035,5.55046,5.800245,6.25841,6.32498,5.895665,5.47308,5.50137
"DDX3Y",2.38453,2.37693,2.4151325,2.40118,2.41674,5.008935,2.39054,2.4005425,2.4468975,2.4903975,2.44314,2.5416875,2.4372525,2.613295,2.369145,2.5998225,2.36779,2.609185,2.4334325,3.12892
"AF213884.2",2.52251,2.4567,2.30317,2.48033,2.52889,2.41211,2.48897,2.49296,2.63903,2.53714,2.59225,2.87356,2.83399,2.58911,2.55009,2.58042,2.52779,2.72763,2.53806,4.7156
"LOC101928207",2.47195,2.5409,2.59042,2.59427,2.63248,2.59084,2.71248,2.52339,2.70875,2.6263,2.70454,2.65412,2.65638,2.81094,2.57824,2.66578,2.60083,3.16435,2.68055,2.96036
"ZNF746",5.108315,5.36182,4.92576,5.083905,5.096355,4.90829,5.381925,5.13151,4.8934,5.089445,4.69565,4.60069,5.12945,4.749875,5.56085,5.331995,4.95604,5.698895,4.9786,4.784055
"LOC100506585",2.2791,2.25333,2.22145,2.27858,2.24462,2.20802,2.24976,2.27507,2.5445,2.32225,2.24942,2.35138,2.27858,2.28018,2.21049,2.31615,2.27858,2.74999,2.19555,3.0494
"TAS2R19",2.59975,2.58335,2.53611,2.76808,3.79697,2.63923,2.7158,2.63455,3.1672,2.8678,2.7462,3.24728,2.71578,2.85084,2.62641,2.81231,2.61837,3.70583,2.69072,4.7821
"LOC101926928",2.20609,2.25196,2.74555,2.24333,2.29678,2.21927,2.268,2.24572,2.25113,2.29387,2.29535,2.34418,2.29678,2.31965,2.32986,2.47834,2.19843,2.53606,2.31265,2.61048
"FAM66C /// LOC101928910",2.52095333333333,2.48974,2.51226333333333,2.50166333333333,2.48612666666667,2.47481333333333,2.46732,2.49417,2.55727666666667,2.5195,2.59526333333333,2.61956666666667,2.57594666666667,2.53816,2.45234,2.53895333333333,2.45702666666667,2.70130333333333,2.50017,2.77483666666667
"FAM47E",2.33148,2.32536,2.30081,2.39182,2.38411,2.29587,2.36466,2.38696,2.47843,2.44751,2.38696,2.56569,2.4001,2.4264,2.32694,2.48194,2.36719,2.56096,2.36816,2.60691
"LOC101929076",2.22875,2.23897,2.20035,2.21825,2.26141,2.20695,2.20486,2.18967,2.63686,2.27177,2.29123,3.22337,2.27223,2.37855,2.24004,2.33964,2.21186,3.20827,2.24141,4.08771
"LOC100133131",2.92562,3.1328,3.12065,3.07783,3.07104,3.58428,3.0309,2.9786,3.03726,3.13245,3.07289,3.20535,3.04557,3.10005,3.01544,3.08808,3.0815,3.11409,3.02105,3.23566
"KLF3-AS1",2.808485,3.152955,2.95254,3.65358,2.703665,3.9419,2.5901,3.466485,2.58719,2.608905,2.875365,2.91979,3.35267,3.065505,2.530705,2.618,2.56652,2.60477,3.207785,2.69131
"DDX52",4.3811725,4.493905,5.2109875,4.6072975,5.2446775,4.90014,4.1494425,4.455715,4.46905,4.3251525,3.8551775,3.918155,4.4190625,4.4445425,4.5118375,4.6382175,5.3672,4.041235,4.850825,4.39229
"STXBP2",3.80968,3.22533,3.774885,3.351905,4.37751,5.317585,4.753285,4.84273,3.363765,4.746095,5.66346,5.866815,5.049405,4.91166,4.01634,3.105555,5.67916,5.10678,5.26139,3.16406
"SNTG2",2.19177,2.51986,2.26806,3.2942,2.160415,2.12118,2.175195,2.15489,2.211105,2.102675,2.154875,2.26157,2.175785,2.210395,2.159925,2.22796,2.150265,2.17407,2.143545,2.23833
"FLG-AS1",2.68619,2.55218,2.498145,2.543165,2.527455,2.41889,2.52399,2.45688,4.16985,2.621965,2.57098,2.80447,2.548905,2.577365,3.283755,3.262445,2.5342,2.833775,2.537865,4.8693
"RP11-471G13.5",2.57983,2.67353,2.69452,2.68737,2.6475,2.58055,2.5899,2.65966,3.30954,2.55285,2.63633,2.98517,2.68404,2.6475,2.56218,2.68641,2.53843,2.71026,2.59554,3.15054
"TMPRSS2",2.9861175,2.52192,2.5558,2.723325,3.890915,3.2373175,4.302845,3.08402,3.2283275,2.8889825,3.5804725,3.044705,2.7489025,2.8970725,4.0068575,3.3793325,3.5343725,2.822385,3.0583075,3.230025
"NAPB",4.76276,5.269515,4.9052,5.26532,7.78994,6.366545,5.00267,5.038165,5.262445,6.83946,4.540935,4.99131,5.65892,6.0244,4.860265,5.64041,5.39467,4.66294,5.15056,4.97506
"LOC643201",2.54540333333333,2.48996,2.78602666666667,2.55209333333333,2.56023666666667,2.43754666666667,2.48538,2.51013,2.66912666666667,2.57638,2.61550666666667,3.14573666666667,2.61475,2.67380333333333,2.51848333333333,2.65962333333333,2.48067666666667,2.89336666666667,2.55576,3.95375
"LINC00452",2.64644,2.54788,2.70699,2.73442,2.758,2.7223,2.74655,2.77626,2.86843,2.77109,3.54774,2.77793,2.90066,2.83214,2.75808,2.85121,2.68691,3.37397,2.75739,4.24935
"EIF4EBP2",6.438272,6.613854,6.249502,7.335938,5.401388,5.265768,5.891912,5.473228,5.662652,5.256828,5.467076,5.023354,5.292484,5.487682,5.704244,6.049738,5.492298,4.901628,4.799794,4.89993
"RP11-153K16.2",2.34369,2.37201,2.24828,2.39049,2.36976,2.35033,2.3872,2.34295,2.48937,2.4538,2.46409,2.5031,2.49483,2.451,2.35531,2.54877,2.38935,2.62133,2.40014,2.7052
"BC017988 /// RP11-308N19.1",2.72828,2.27236,2.35177,2.3534,2.3603,2.27645,2.29917,2.25917,2.38439,2.40883,2.41166,2.47615,2.3603,2.37127,3.28491,2.33111,2.30273,2.56397,2.33682,2.58042
"CATSPERB",4.68399,2.6995,2.723255,2.63027,2.95142,2.665515,5.598705,6.2208,2.77853,3.00053,3.688395,2.841895,2.760435,2.98181,4.40252,2.8743,2.957785,3.14494,2.720645,3.99616
"ART1",2.15316666666667,2.22634333333333,2.30476666666667,2.33314333333333,2.30764333333333,2.24253333333333,2.24343,2.29349666666667,2.78370666666667,2.28629333333333,2.39698,2.60282,2.38285666666667,2.54760666666667,2.29408666666667,2.36535666666667,2.23399666666667,2.74698,2.21721,3.06034333333333
"RP11-669I1.1",2.52348,2.56479,2.60097,2.51448,2.63908,2.56617,2.59998,2.61612,2.76734,2.74738,2.77671,2.86037,2.70426,2.77057,2.57928,2.74071,2.61317,3.36756,2.70426,3.84766
"RP11-646E18.4",2.2605,2.31772,2.38199,2.28469,2.32241,2.22536,2.31099,2.26903,2.31803,2.37442,2.32824,2.38935,2.31099,2.36925,2.24525,2.5407,2.30283,2.37278,2.25954,2.49557
"RP11-680F20.10",3.26892,2.8639,3.277,2.99262,3.21844,3.22571,3.06023,3.8507,4.10915,3.22233,3.27636,3.72206,3.28999,3.35607,3.71243,4.61956,2.97403,3.44614,3.04003,6.25565
"ABCB4",3.33863,3.28212,3.111415,3.38385,3.28452,3.24962,3.2493,3.306605,3.92114,3.219525,3.345225,3.390465,4.030315,3.984195,3.678815,3.380675,3.27888,3.494335,3.339725,3.49459
"SCAF11",7.80324571428571,8.43807,8.39363285714286,8.37634285714286,8.69305714285714,8.57538428571429,7.39848714285714,7.92758285714286,7.24106571428571,8.60718142857143,7.39315142857143,7.77466857142857,7.94068857142857,7.91239857142857,6.10289857142857,6.13634428571429,7.07437428571429,6.05589285714286,6.38924857142857,5.41845142857143
"ARHGEF10L",6.7172,6.38667,6.78921,6.240755,7.640215,6.24049,5.8917,5.541735,5.262095,6.34007,6.76299,6.333365,6.039635,5.84991,6.26835,5.844955,6.175485,5.38534,6.082365,5.49366
"OR51B5",2.385465,2.349985,2.41939,2.384735,2.342875,2.313515,2.356475,2.354305,2.363215,2.35527,2.447515,2.567775,2.792815,2.34743,2.52589,2.780585,2.33243,2.523625,2.512995,4.8672
